File,Size_KB
.gitignore,0.19
LICENSE,1.04
PACKAGE_MANIFEST.csv,3.23
README.md,1.14
REPRODUCIBILITY.md,2.33
artifacts/evidence/README.md,1.02
artifacts/evidence/instance_level_evidence_bundle_300.csv,216.42
artifacts/evidence/local_shap_evidence_300.csv,209.15
artifacts/models/decision_tree_params.json,0.34
artifacts/models/decision_tree_table_i_exact.joblib,288.59
artifacts/models/rf_model.pkl,50150.55
artifacts/models/rf_model_params.json,0.49
artifacts/preprocessing/feature_columns.pkl,1.44
artifacts/preprocessing/label_encoder.pkl,0.69
artifacts/preprocessing/preprocessing_summary.csv,0.49
artifacts/prompts/instance_level_llm_prompts_300.csv,533.83
artifacts/reports/instance_level_llm_reports_300.csv,1066.6
artifacts/results/README.md,0.67
artifacts/results/confidence_review_routing_dt_vs_rf.csv,1.21
artifacts/results/dt_exact_reproduction_check.csv,0.21
artifacts/results/dt_vs_rf_event_confidence.csv,7695.02
artifacts/results/results_index.csv,0.65
artifacts/results/rf_split_reproduction_check.csv,0.2
artifacts/results/risk_coverage_dt_vs_rf.csv,6781.25
artifacts/results/table_i_model_comparison.csv,0.31
artifacts/results/table_ii_stage_classification.csv,0.16
artifacts/results/table_iii_stage_severity_zones.csv,0.94
artifacts/results/table_iv_asset_sensitivity.csv,0.43
artifacts/results/table_v_factual_consistency.csv,0.27
artifacts/results/table_vi_300_event_composition.csv,0.3
artifacts/results/table_vi_classification_uncertainty_utility.csv,0.53
artifacts/results/table_vi_dt_vs_rf_calibration.csv,0.89
artifacts/results/table_vii_rare_class_detection.csv,0.19
artifacts/results/table_vii_uncertainty_utility_dt_vs_rf.csv,0.44
artifacts/results/table_viii_dt_rf_uncertainty_utility.csv,0.4
artifacts/risk_policy/action_threshold_table.csv,0.62
artifacts/risk_policy/asset_factor_sensitivity_300.csv,0.43
artifacts/risk_policy/raw_label_stage_severity_table.csv,1.63
artifacts/risk_policy/risk_policy_event_audit_300.csv,16.44
artifacts/risk_policy/risk_zone_distribution_300.csv,0.17
artifacts/risk_policy/stage_severity_table.csv,0.94
configs/main_config.yaml,0.94
configs/risk_policy.yaml,1.29
data/README_CICIDS2017.md,0.59
figures/README.md,0.83
figures/fig_10_risk_coverage_dt_vs_rf.pdf,16.96
figures/fig_10_risk_coverage_dt_vs_rf.png,148.07
figures/fig_1_architecture.png,50.68
figures/fig_2_raw_confusion_matrix.pdf,25.7
figures/fig_2_raw_confusion_matrix.png,373.0
figures/fig_3_stage_confusion_matrix.pdf,20.57
figures/fig_3_stage_confusion_matrix.png,258.11
figures/fig_4_global_feature_importance.pdf,18.43
figures/fig_4_global_feature_importance.png,253.05
figures/fig_5_risk_score_distribution_policy_zones_300.pdf,14.95
figures/fig_5_risk_score_distribution_policy_zones_300.png,151.91
figures/fig_6_confidence_vs_risk_by_action_300.pdf,17.82
figures/fig_6_confidence_vs_risk_by_action_300.png,156.51
figures/fig_7_explanation_quality_comparison.pdf,15.66
figures/fig_7_explanation_quality_comparison.png,113.29
figures/fig_8_hallucination_analysis.pdf,12.8
figures/fig_8_hallucination_analysis.png,90.11
figures/fig_9_confidence_distribution_dt_vs_rf.pdf,16.14
figures/fig_9_confidence_distribution_dt_vs_rf.png,118.23
figures/figures_index.csv,0.84
notebooks/Test.ipynb,1535.24
prompts/evidence_constrained_prompt_template.txt,0.61
requirements.txt,0.19
runtime_info.txt,13.31
scripts/check_reproducibility.py,9.6
