row_id,true_label,predicted_label,confidence,local_explanation_json,attack_stage,risk_score,recommended_action
0,BENIGN,BENIGN,1.0,"[{""feature"": ""Destination Port"", ""value"": 443.0, ""shap_value"": 0.014724666828895814, ""effect"": ""supports predicted class""}, {""feature"": ""Fwd Packet Length Max"", ""value"": 1133.0, ""shap_value"": 0.014714537627566528, ""effect"": ""supports predicted class""}, {""feature"": ""Subflow Fwd Bytes"", ""value"": 1523.0, ""shap_value"": 0.011565891287323575, ""effect"": ""supports predicted class""}, {""feature"": ""min_seg_size_forward"", ""value"": 20.0, ""shap_value"": 0.011519951305192056, ""effect"": ""supports predicted class""}, {""feature"": ""Flow IAT Max"", ""value"": 10000000.0, ""shap_value"": 0.0106089584052441, ""effect"": ""supports predicted class""}]",Normal,0.0,Monitor
1,DoS Hulk,DoS Hulk,1.0,"[{""feature"": ""Bwd Packet Length Std"", ""value"": 2181.008184, ""shap_value"": 0.06808780508520484, ""effect"": ""supports predicted class""}, {""feature"": ""Bwd Packet Length Max"", ""value"": 5792.0, ""shap_value"": 0.055310138034043915, ""effect"": ""supports predicted class""}, {""feature"": ""Avg Bwd Segment Size"", ""value"": 1932.5, ""shap_value"": 0.04769056939217535, ""effect"": ""supports predicted class""}, {""feature"": ""Bwd Packet Length Mean"", ""value"": 1932.5, ""shap_value"": 0.04721432233413697, ""effect"": ""supports predicted class""}, {""feature"": ""Init_Win_bytes_backward"", ""value"": 235.0, ""shap_value"": 0.04408351152064044, ""effect"": ""supports predicted class""}]",Impact / Availability Attack,7.0,Block Source IP
2,BENIGN,BENIGN,0.9933333333333332,"[{""feature"": ""Init_Win_bytes_backward"", ""value"": 972.0, ""shap_value"": 0.019586329317432708, ""effect"": ""supports predicted class""}, {""feature"": ""Subflow Fwd Bytes"", ""value"": 864.0, ""shap_value"": 0.014715222732754807, ""effect"": ""supports predicted class""}, {""feature"": ""Flow IAT Max"", ""value"": 9999859.0, ""shap_value"": 0.01412661707990513, ""effect"": ""supports predicted class""}, {""feature"": ""Flow Duration"", ""value"": 21213499.0, ""shap_value"": 0.013241509139441469, ""effect"": ""supports predicted class""}, {""feature"": ""Total Length of Fwd Packets"", ""value"": 864.0, ""shap_value"": 0.010137467160472058, ""effect"": ""supports predicted class""}]",Normal,0.0,Monitor
3,BENIGN,BENIGN,1.0,"[{""feature"": ""Total Length of Fwd Packets"", ""value"": 2617.0, ""shap_value"": 0.021823495138033132, ""effect"": ""supports predicted class""}, {""feature"": ""Subflow Fwd Bytes"", ""value"": 2617.0, ""shap_value"": 0.021508881468197395, ""effect"": ""supports predicted class""}, {""feature"": ""Subflow Bwd Packets"", ""value"": 142.0, ""shap_value"": 0.01557749639075979, ""effect"": ""supports predicted class""}, {""feature"": ""Total Backward Packets"", ""value"": 142.0, ""shap_value"": 0.015566656774722106, ""effect"": ""supports predicted class""}, {""feature"": ""Fwd Header Length"", ""value"": 1672.0, ""shap_value"": 0.012723611494624264, ""effect"": ""supports predicted class""}]",Normal,0.0,Monitor
4,BENIGN,BENIGN,1.0,"[{""feature"": ""PSH Flag Count"", ""value"": 0.0, ""shap_value"": 0.015453730606666199, ""effect"": ""supports predicted class""}, {""feature"": ""Subflow Bwd Bytes"", ""value"": 162.0, ""shap_value"": 0.015248661723587702, ""effect"": ""supports predicted class""}, {""feature"": ""Init_Win_bytes_forward"", ""value"": -1.0, ""shap_value"": 0.014776827221006528, ""effect"": ""supports predicted class""}, {""feature"": ""Bwd Packet Length Min"", ""value"": 81.0, ""shap_value"": 0.014210388328629052, ""effect"": ""supports predicted class""}, {""feature"": ""Packet Length Mean"", ""value"": 57.6, ""shap_value"": 0.01255953383542551, ""effect"": ""supports predicted class""}]",Normal,0.0,Monitor
5,PortScan,PortScan,0.999991170970446,"[{""feature"": ""PSH Flag Count"", ""value"": 1.0, ""shap_value"": 0.06496234731210997, ""effect"": ""supports predicted class""}, {""feature"": ""Fwd Packet Length Mean"", ""value"": 2.0, ""shap_value"": 0.04373403877929302, ""effect"": ""supports predicted class""}, {""feature"": ""Subflow Fwd Bytes"", ""value"": 2.0, ""shap_value"": 0.039903305687628364, ""effect"": ""supports predicted class""}, {""feature"": ""Bwd Packet Length Min"", ""value"": 6.0, ""shap_value"": 0.03436423440118247, ""effect"": ""supports predicted class""}, {""feature"": ""Packet Length Mean"", ""value"": 3.333333333, ""shap_value"": 0.032390414774260266, ""effect"": ""supports predicted class""}]",Reconnaissance,3.0,Alert SOC Analyst
6,DoS slowloris,DoS slowloris,0.9999999472077616,"[{""feature"": ""Bwd Packets/s"", ""value"": 0.029240381, ""shap_value"": 0.04468136968157808, ""effect"": ""supports predicted class""}, {""feature"": ""min_seg_size_forward"", ""value"": 32.0, ""shap_value"": 0.04372535527340389, ""effect"": ""supports predicted class""}, {""feature"": ""Flow IAT Mean"", ""value"": 6412365.25, ""shap_value"": 0.04215278986866672, ""effect"": ""supports predicted class""}, {""feature"": ""Avg Bwd Segment Size"", ""value"": 2.0, ""shap_value"": 0.03898364427483329, ""effect"": ""supports predicted class""}, {""feature"": ""Bwd IAT Min"", ""value"": 31400000.0, ""shap_value"": 0.037769470128866944, ""effect"": ""supports predicted class""}]",Impact / Availability Attack,7.0,Block Source IP
7,PortScan,PortScan,1.0,"[{""feature"": ""PSH Flag Count"", ""value"": 1.0, ""shap_value"": 0.06487968884179975, ""effect"": ""supports predicted class""}, {""feature"": ""Init_Win_bytes_forward"", ""value"": 29200.0, ""shap_value"": 0.054772808480351785, ""effect"": ""supports predicted class""}, {""feature"": ""min_seg_size_forward"", ""value"": 40.0, ""shap_value"": 0.04278865853660249, ""effect"": ""supports predicted class""}, {""feature"": ""Bwd Packet Length Min"", ""value"": 6.0, ""shap_value"": 0.03910053759032508, ""effect"": ""supports predicted class""}, {""feature"": ""Bwd Header Length"", ""value"": 20.0, ""shap_value"": 0.03590672495646029, ""effect"": ""supports predicted class""}]",Reconnaissance,3.0,Alert SOC Analyst
8,BENIGN,BENIGN,1.0,"[{""feature"": ""Bwd Packet Length Min"", ""value"": 108.0, ""shap_value"": 0.023224643039502554, ""effect"": ""supports predicted class""}, {""feature"": ""Destination Port"", ""value"": 53.0, ""shap_value"": -0.013259966735270346, ""effect"": ""opposes predicted class""}, {""feature"": ""Init_Win_bytes_forward"", ""value"": -1.0, ""shap_value"": 0.013022946796400703, ""effect"": ""supports predicted class""}, {""feature"": ""Packet Length Mean"", ""value"": 69.0, ""shap_value"": 0.012517166310490798, ""effect"": ""supports predicted class""}, {""feature"": ""Subflow Bwd Bytes"", ""value"": 216.0, ""shap_value"": 0.01237973424349093, ""effect"": ""supports predicted class""}]",Normal,0.0,Monitor
9,PortScan,PortScan,0.999987412658182,"[{""feature"": ""PSH Flag Count"", ""value"": 1.0, ""shap_value"": 0.06463714397534012, ""effect"": ""supports predicted class""}, {""feature"": ""Fwd Packet Length Mean"", ""value"": 2.0, ""shap_value"": 0.04344147478659505, ""effect"": ""supports predicted class""}, {""feature"": ""Subflow Fwd Bytes"", ""value"": 2.0, ""shap_value"": 0.03969402935161959, ""effect"": ""supports predicted class""}, {""feature"": ""Bwd Packet Length Min"", ""value"": 6.0, ""shap_value"": 0.03421245016685148, ""effect"": ""supports predicted class""}, {""feature"": ""Total Length of Fwd Packets"", ""value"": 2.0, ""shap_value"": 0.032212025241230444, ""effect"": ""supports predicted class""}]",Reconnaissance,3.0,Alert SOC Analyst
