File,Size_KB
README.md,0.67
confidence_review_routing_dt_vs_rf.csv,1.21
dt_exact_reproduction_check.csv,0.21
dt_vs_rf_event_confidence.csv,7695.02
rf_split_reproduction_check.csv,0.2
risk_coverage_dt_vs_rf.csv,6781.25
table_i_model_comparison.csv,0.31
table_ii_stage_classification.csv,0.16
table_iii_stage_severity_zones.csv,0.94
table_iv_asset_sensitivity.csv,0.43
table_v_factual_consistency.csv,0.27
table_vi_300_event_composition.csv,0.3
table_vi_classification_uncertainty_utility.csv,0.53
table_vi_dt_vs_rf_calibration.csv,0.89
table_vii_rare_class_detection.csv,0.19
table_vii_uncertainty_utility_dt_vs_rf.csv,0.44
table_viii_dt_rf_uncertainty_utility.csv,0.4
