predicted_label,attack_stage,confidence,severity,asset_criticality,risk_score_recomputed,policy_zone_recomputed,recommended_action_recomputed
BENIGN,Normal,1.0,0.0,1.0,0.0,Monitor,Monitor
DoS Hulk,Impact / Availability Attack,1.0,7.0,1.0,7.0,Block,Block Source IP
BENIGN,Normal,0.9933333333333332,0.0,1.0,0.0,Monitor,Monitor
BENIGN,Normal,1.0,0.0,1.0,0.0,Monitor,Monitor
BENIGN,Normal,1.0,0.0,1.0,0.0,Monitor,Monitor
PortScan,Reconnaissance,0.999991170970446,3.0,1.0,2.999973512911338,Alert,Alert SOC Analyst
DoS slowloris,Impact / Availability Attack,0.9999999472077616,7.0,1.0,6.999999630454331,Block,Block Source IP
PortScan,Reconnaissance,1.0,3.0,1.0,3.0,Alert,Alert SOC Analyst
BENIGN,Normal,1.0,0.0,1.0,0.0,Monitor,Monitor
PortScan,Reconnaissance,0.999987412658182,3.0,1.0,2.999962237974546,Alert,Alert SOC Analyst
PortScan,Reconnaissance,0.99999179521005,3.0,1.0,2.99997538563015,Alert,Alert SOC Analyst
BENIGN,Normal,1.0,0.0,1.0,0.0,Monitor,Monitor
BENIGN,Normal,1.0,0.0,1.0,0.0,Monitor,Monitor
BENIGN,Normal,1.0,0.0,1.0,0.0,Monitor,Monitor
BENIGN,Normal,1.0,0.0,1.0,0.0,Monitor,Monitor
DoS Hulk,Impact / Availability Attack,0.9999886418757424,7.0,1.0,6.9999204931301975,Block,Block Source IP
DoS Hulk,Impact / Availability Attack,0.9999886418757424,7.0,1.0,6.9999204931301975,Block,Block Source IP
BENIGN,Normal,1.0,0.0,1.0,0.0,Monitor,Monitor
DoS Hulk,Impact / Availability Attack,0.998040434179984,7.0,1.0,6.986283039259888,Block,Block Source IP
BENIGN,Normal,1.0,0.0,1.0,0.0,Monitor,Monitor
BENIGN,Normal,1.0,0.0,1.0,0.0,Monitor,Monitor
DoS Hulk,Impact / Availability Attack,1.0,7.0,1.0,7.0,Block,Block Source IP
BENIGN,Normal,1.0,0.0,1.0,0.0,Monitor,Monitor
BENIGN,Normal,1.0,0.0,1.0,0.0,Monitor,Monitor
BENIGN,Normal,0.9004713100931973,0.0,1.0,0.0,Monitor,Monitor
BENIGN,Normal,1.0,0.0,1.0,0.0,Monitor,Monitor
BENIGN,Normal,0.9954090702319268,0.0,1.0,0.0,Monitor,Monitor
DDoS,Impact / Availability Attack,1.0,7.0,1.0,7.0,Block,Block Source IP
BENIGN,Normal,0.930555455621212,0.0,1.0,0.0,Monitor,Monitor
BENIGN,Normal,1.0,0.0,1.0,0.0,Monitor,Monitor
PortScan,Reconnaissance,1.0,3.0,1.0,3.0,Alert,Alert SOC Analyst
BENIGN,Normal,1.0,0.0,1.0,0.0,Monitor,Monitor
DDoS,Impact / Availability Attack,1.0,7.0,1.0,7.0,Block,Block Source IP
BENIGN,Normal,1.0,0.0,1.0,0.0,Monitor,Monitor
DoS Hulk,Impact / Availability Attack,1.0,7.0,1.0,7.0,Block,Block Source IP
BENIGN,Normal,1.0,0.0,1.0,0.0,Monitor,Monitor
BENIGN,Normal,1.0,0.0,1.0,0.0,Monitor,Monitor
BENIGN,Normal,0.9999224179076112,0.0,1.0,0.0,Monitor,Monitor
BENIGN,Normal,0.9947547812454784,0.0,1.0,0.0,Monitor,Monitor
BENIGN,Normal,1.0,0.0,1.0,0.0,Monitor,Monitor
BENIGN,Normal,1.0,0.0,1.0,0.0,Monitor,Monitor
PortScan,Reconnaissance,0.9999831660338112,3.0,1.0,2.999949498101434,Alert,Alert SOC Analyst
BENIGN,Normal,1.0,0.0,1.0,0.0,Monitor,Monitor
BENIGN,Normal,1.0,0.0,1.0,0.0,Monitor,Monitor
BENIGN,Normal,1.0,0.0,1.0,0.0,Monitor,Monitor
DDoS,Impact / Availability Attack,1.0,7.0,1.0,7.0,Block,Block Source IP
PortScan,Reconnaissance,0.9988716536493972,3.0,1.0,2.996614960948192,Alert,Alert SOC Analyst
BENIGN,Normal,1.0,0.0,1.0,0.0,Monitor,Monitor
