configuration_id,true_label_evaluation_only,reports,classification_accuracy,strict_structure_pass_rate,prediction_contract_pass_rate,evidence_contract_pass_rate,unsupported_claim_indicator_rate
A0_deterministic_template,Analysis,30,0.5,1.0,0.0,1.0,0.0
A0_deterministic_template,Backdoor,30,0.5,1.0,0.0,1.0,0.0
A0_deterministic_template,DoS,30,0.5,1.0,0.0,1.0,0.0
A0_deterministic_template,Exploits,30,0.5,1.0,0.0,1.0,0.0
A0_deterministic_template,Fuzzers,30,0.5,1.0,0.0,1.0,0.0
A0_deterministic_template,Generic,30,0.5,1.0,0.0,1.0,0.0
A0_deterministic_template,Normal,30,0.5,1.0,0.0,1.0,0.0
A0_deterministic_template,Reconnaissance,30,0.5,1.0,0.0,1.0,0.0
A0_deterministic_template,Shellcode,30,0.5,1.0,0.0,1.0,0.0
A0_deterministic_template,Worms,30,0.5,1.0,0.0,1.0,0.0
A1_unconstrained_full,Analysis,30,0.5,1.0,0.0,0.0,0.8666666666666667
A1_unconstrained_full,Backdoor,30,0.5,1.0,0.0,0.0,1.0
A1_unconstrained_full,DoS,30,0.5,1.0,0.0,0.0,1.0
A1_unconstrained_full,Exploits,30,0.5,1.0,0.1,0.0,0.9333333333333333
A1_unconstrained_full,Fuzzers,30,0.5,1.0,0.03333333333333333,0.0,0.9333333333333333
A1_unconstrained_full,Generic,30,0.5,1.0,0.0,0.0,0.9
A1_unconstrained_full,Normal,30,0.5,1.0,0.3,0.0,0.5666666666666667
A1_unconstrained_full,Reconnaissance,30,0.5,1.0,0.0,0.0,0.9333333333333333
A1_unconstrained_full,Shellcode,30,0.5,1.0,0.0,0.0,1.0
A1_unconstrained_full,Worms,30,0.5,1.0,0.0,0.0,0.9666666666666667
A2_constrained_no_shap,Analysis,30,0.5,0.0,0.0,1.0,0.2
A2_constrained_no_shap,Backdoor,30,0.5,0.0,0.0,0.9666666666666667,0.16666666666666666
A2_constrained_no_shap,DoS,30,0.5,0.0,0.0,1.0,0.26666666666666666
A2_constrained_no_shap,Exploits,30,0.5,0.0,0.0,1.0,0.43333333333333335
A2_constrained_no_shap,Fuzzers,30,0.5,0.0,0.0,1.0,0.26666666666666666
A2_constrained_no_shap,Generic,30,0.5,0.0,0.0,1.0,0.6333333333333333
A2_constrained_no_shap,Normal,30,0.5,0.0,0.0,1.0,0.3333333333333333
A2_constrained_no_shap,Reconnaissance,30,0.5,0.0,0.0,1.0,0.2
A2_constrained_no_shap,Shellcode,30,0.5,0.0,0.0,1.0,0.3333333333333333
A2_constrained_no_shap,Worms,30,0.5,0.0,0.0,1.0,0.6333333333333333
A3_constrained_full,Analysis,30,0.5,0.0,0.43333333333333335,0.36666666666666664,0.0
A3_constrained_full,Backdoor,30,0.5,0.0,0.5,0.13333333333333333,0.0
A3_constrained_full,DoS,30,0.5,0.0,0.36666666666666664,0.2,0.03333333333333333
A3_constrained_full,Exploits,30,0.5,0.0,0.26666666666666666,0.16666666666666666,0.0
A3_constrained_full,Fuzzers,30,0.5,0.0,0.5,0.06666666666666667,0.03333333333333333
A3_constrained_full,Generic,30,0.5,0.0,0.6,0.5333333333333333,0.06666666666666667
A3_constrained_full,Normal,30,0.5,0.0,0.3333333333333333,0.16666666666666666,0.0
A3_constrained_full,Reconnaissance,30,0.5,0.0,0.3,0.03333333333333333,0.03333333333333333
A3_constrained_full,Shellcode,30,0.5,0.0,0.36666666666666664,0.2,0.03333333333333333
A3_constrained_full,Worms,30,0.5,0.0,0.5333333333333333,0.06666666666666667,0.0
A4_verified_full,Analysis,30,0.5,1.0,1.0,1.0,0.0
A4_verified_full,Backdoor,30,0.5,1.0,1.0,1.0,0.0
A4_verified_full,DoS,30,0.5,1.0,1.0,1.0,0.0
A4_verified_full,Exploits,30,0.5,1.0,1.0,1.0,0.0
A4_verified_full,Fuzzers,30,0.5,1.0,1.0,1.0,0.0
A4_verified_full,Generic,30,0.5,1.0,1.0,1.0,0.0
A4_verified_full,Normal,30,0.5,1.0,1.0,1.0,0.0
A4_verified_full,Reconnaissance,30,0.5,1.0,1.0,1.0,0.0
A4_verified_full,Shellcode,30,0.5,1.0,1.0,1.0,0.0
A4_verified_full,Worms,30,0.5,1.0,1.0,1.0,0.0
