True class,A3 reports,Classification accuracy,A3 structure,A3 prediction contract,A3 evidence contract,A3 unsupported indicator,A4 structure,A4 prediction contract,A4 evidence contract,A4 unsupported indicator
Analysis,30,0.5,0.0,0.4333333333333333,0.3666666666666666,0.0,1.0,1.0,1.0,0.0
Backdoor,30,0.5,0.0,0.5,0.1333333333333333,0.0,1.0,1.0,1.0,0.0
DoS,30,0.5,0.0,0.3666666666666666,0.2,0.0333333333333333,1.0,1.0,1.0,0.0
Exploits,30,0.5,0.0,0.2666666666666666,0.1666666666666666,0.0,1.0,1.0,1.0,0.0
Fuzzers,30,0.5,0.0,0.5,0.0666666666666666,0.0333333333333333,1.0,1.0,1.0,0.0
Generic,30,0.5,0.0,0.6,0.5333333333333333,0.0666666666666666,1.0,1.0,1.0,0.0
Normal,30,0.5,0.0,0.3333333333333333,0.1666666666666666,0.0,1.0,1.0,1.0,0.0
Reconnaissance,30,0.5,0.0,0.3,0.0333333333333333,0.0333333333333333,1.0,1.0,1.0,0.0
Shellcode,30,0.5,0.0,0.3666666666666666,0.2,0.0333333333333333,1.0,1.0,1.0,0.0
Worms,30,0.5,0.0,0.5333333333333333,0.0666666666666666,0.0,1.0,1.0,1.0,0.0
