metric,analysis_name,population,configuration_1,configuration_1_label,configuration_2,configuration_2_label,events,configuration_1_rate,configuration_2_rate,rate_difference_1_minus_2,difference_ci_95_lower,difference_ci_95_upper,configuration_1_only_passes,configuration_2_only_passes,discordant_pairs,exact_mcnemar_p_value,higher_is_better,holm_adjusted_p_value,significant_after_holm_0_05
strict_structure_pass,Strict structural compliance,All events,A0_deterministic_template,A0 Template,A1_unconstrained_full,A1 Unconstrained,300,1.0,1.0,0.0,0.0,0.0,0,0,0,1.0,True,1.0,False
strict_structure_pass,Strict structural compliance,All events,A0_deterministic_template,A0 Template,A2_constrained_no_shap,A2 No SHAP,300,1.0,0.0,1.0,1.0,1.0,300,0,300,9.818186930595453e-91,True,9.818186930595453e-90,True
strict_structure_pass,Strict structural compliance,All events,A0_deterministic_template,A0 Template,A3_constrained_full,A3 Full Evidence,300,1.0,0.0,1.0,1.0,1.0,300,0,300,9.818186930595453e-91,True,9.818186930595453e-90,True
strict_structure_pass,Strict structural compliance,All events,A0_deterministic_template,A0 Template,A4_verified_full,A4 Verified,300,1.0,1.0,0.0,0.0,0.0,0,0,0,1.0,True,1.0,False
strict_structure_pass,Strict structural compliance,All events,A1_unconstrained_full,A1 Unconstrained,A2_constrained_no_shap,A2 No SHAP,300,1.0,0.0,1.0,1.0,1.0,300,0,300,9.818186930595453e-91,True,9.818186930595453e-90,True
strict_structure_pass,Strict structural compliance,All events,A1_unconstrained_full,A1 Unconstrained,A3_constrained_full,A3 Full Evidence,300,1.0,0.0,1.0,1.0,1.0,300,0,300,9.818186930595453e-91,True,9.818186930595453e-90,True
strict_structure_pass,Strict structural compliance,All events,A1_unconstrained_full,A1 Unconstrained,A4_verified_full,A4 Verified,300,1.0,1.0,0.0,0.0,0.0,0,0,0,1.0,True,1.0,False
strict_structure_pass,Strict structural compliance,All events,A2_constrained_no_shap,A2 No SHAP,A3_constrained_full,A3 Full Evidence,300,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,True,1.0,False
strict_structure_pass,Strict structural compliance,All events,A2_constrained_no_shap,A2 No SHAP,A4_verified_full,A4 Verified,300,0.0,1.0,-1.0,-1.0,-1.0,0,300,300,9.818186930595453e-91,True,9.818186930595453e-90,True
strict_structure_pass,Strict structural compliance,All events,A3_constrained_full,A3 Full Evidence,A4_verified_full,A4 Verified,300,0.0,1.0,-1.0,-1.0,-1.0,0,300,300,9.818186930595453e-91,True,9.818186930595453e-90,True
prediction_contract_pass,Prediction-contract compliance,All events,A0_deterministic_template,A0 Template,A1_unconstrained_full,A1 Unconstrained,300,0.0,0.043333333333333335,-0.043333333333333335,-0.06666666666666667,-0.02,0,13,13,0.000244140625,True,0.000732421875,True
prediction_contract_pass,Prediction-contract compliance,All events,A0_deterministic_template,A0 Template,A2_constrained_no_shap,A2 No SHAP,300,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,True,1.0,False
prediction_contract_pass,Prediction-contract compliance,All events,A0_deterministic_template,A0 Template,A3_constrained_full,A3 Full Evidence,300,0.0,0.42,-0.42,-0.4766666666666667,-0.36333333333333334,0,126,126,2.350988701644575e-38,True,1.410593220986745e-37,True
prediction_contract_pass,Prediction-contract compliance,All events,A0_deterministic_template,A0 Template,A4_verified_full,A4 Verified,300,0.0,1.0,-1.0,-1.0,-1.0,0,300,300,9.818186930595453e-91,True,9.818186930595453e-90,True
prediction_contract_pass,Prediction-contract compliance,All events,A1_unconstrained_full,A1 Unconstrained,A2_constrained_no_shap,A2 No SHAP,300,0.043333333333333335,0.0,0.043333333333333335,0.023333333333333334,0.06666666666666667,13,0,13,0.000244140625,True,0.000732421875,True
prediction_contract_pass,Prediction-contract compliance,All events,A1_unconstrained_full,A1 Unconstrained,A3_constrained_full,A3 Full Evidence,300,0.043333333333333335,0.42,-0.37666666666666665,-0.44,-0.31666666666666665,10,123,133,6.735807262088145e-26,True,2.694322904835258e-25,True
prediction_contract_pass,Prediction-contract compliance,All events,A1_unconstrained_full,A1 Unconstrained,A4_verified_full,A4 Verified,300,0.043333333333333335,1.0,-0.9566666666666667,-0.9766666666666667,-0.9333333333333333,0,287,287,8.043058733543795e-87,True,6.434446986835036e-86,True
prediction_contract_pass,Prediction-contract compliance,All events,A2_constrained_no_shap,A2 No SHAP,A3_constrained_full,A3 Full Evidence,300,0.0,0.42,-0.42,-0.4766666666666667,-0.36333333333333334,0,126,126,2.350988701644575e-38,True,1.410593220986745e-37,True
prediction_contract_pass,Prediction-contract compliance,All events,A2_constrained_no_shap,A2 No SHAP,A4_verified_full,A4 Verified,300,0.0,1.0,-1.0,-1.0,-1.0,0,300,300,9.818186930595453e-91,True,9.818186930595453e-90,True
