metric,analysis_name,population,configuration_1,configuration_1_label,configuration_2,configuration_2_label,events,configuration_1_mean,configuration_2_mean,mean_difference_1_minus_2,median_difference_1_minus_2,wilcoxon_statistic,raw_p_value,holm_adjusted_p_value,significant_after_holm_0_05
report_words,Report length in words,All 300 events,A0_deterministic_template,A0 Template,A1_unconstrained_full,A1 Unconstrained,300,111.36333333333333,179.98666666666668,-68.62333333333333,-65.5,0.0,6.000836604412052e-51,5.339482094314255e-50,True
report_words,Report length in words,All 300 events,A0_deterministic_template,A0 Template,A2_constrained_no_shap,A2 No SHAP,300,111.36333333333333,107.69,3.6733333333333333,9.0,16839.0,0.0004858559633653429,0.0004858559633653429,True
report_words,Report length in words,All 300 events,A0_deterministic_template,A0 Template,A3_constrained_full,A3 Full Evidence,300,111.36333333333333,158.09,-46.72666666666667,-48.0,0.0,5.932757882571395e-51,5.339482094314255e-50,True
report_words,Report length in words,All 300 events,A0_deterministic_template,A0 Template,A4_verified_full,A4 Verified,300,111.36333333333333,125.65333333333334,-14.29,-14.0,0.0,6.030985342007004e-53,6.0309853420070044e-52,True
report_words,Report length in words,All 300 events,A1_unconstrained_full,A1 Unconstrained,A2_constrained_no_shap,A2 No SHAP,300,179.98666666666668,107.69,72.29666666666667,75.0,1.0,6.096616151573292e-51,5.339482094314255e-50,True
report_words,Report length in words,All 300 events,A1_unconstrained_full,A1 Unconstrained,A3_constrained_full,A3 Full Evidence,300,179.98666666666668,158.09,21.89666666666667,23.0,6489.0,9.637458377146013e-25,1.9274916754292027e-24,True
report_words,Report length in words,All 300 events,A1_unconstrained_full,A1 Unconstrained,A4_verified_full,A4 Verified,300,179.98666666666668,125.65333333333334,54.333333333333336,51.0,0.0,6.007111344042848e-51,5.339482094314255e-50,True
report_words,Report length in words,All 300 events,A2_constrained_no_shap,A2 No SHAP,A3_constrained_full,A3 Full Evidence,300,107.69,158.09,-50.4,-50.5,378.0,2.5878495541036776e-49,1.2939247770518388e-48,True
report_words,Report length in words,All 300 events,A2_constrained_no_shap,A2 No SHAP,A4_verified_full,A4 Verified,300,107.69,125.65333333333334,-17.963333333333335,-23.0,5573.0,1.935003293954114e-29,5.805009881862342e-29,True
report_words,Report length in words,All 300 events,A3_constrained_full,A3 Full Evidence,A4_verified_full,A4 Verified,300,158.09,125.65333333333334,32.43666666666667,33.5,587.5,1.4349490357917995e-47,5.739796143167198e-47,True
output_tokens,Generated output tokens,LLM configurations only,A1_unconstrained_full,A1 Unconstrained,A2_constrained_no_shap,A2 No SHAP,300,267.38666666666666,155.09,112.29666666666667,113.0,1.0,6.114073442719115e-51,1.8196861138513108e-50,True
output_tokens,Generated output tokens,LLM configurations only,A1_unconstrained_full,A1 Unconstrained,A3_constrained_full,A3 Full Evidence,300,267.38666666666666,317.67333333333335,-50.28666666666667,-49.0,6854.0,3.817213754036911e-25,3.817213754036911e-25,True
output_tokens,Generated output tokens,LLM configurations only,A2_constrained_no_shap,A2 No SHAP,A3_constrained_full,A3 Full Evidence,300,155.09,317.67333333333335,-162.58333333333334,-162.0,0.0,6.065620379504369e-51,1.8196861138513108e-50,True
generation_seconds,Generation time in seconds,LLM configurations only,A1_unconstrained_full,A1 Unconstrained,A2_constrained_no_shap,A2 No SHAP,300,9.927483368483323,5.721376012913334,4.206107355569989,4.230896879000284,0.0,6.083559849691437e-51,1.825067954907431e-50,True
generation_seconds,Generation time in seconds,LLM configurations only,A1_unconstrained_full,A1 Unconstrained,A3_constrained_full,A3 Full Evidence,300,9.927483368483323,11.706032165463382,-1.7785487969800593,-1.9128671525004401,7219.0,1.755637046980298e-24,1.755637046980298e-24,True
generation_seconds,Generation time in seconds,LLM configurations only,A2_constrained_no_shap,A2 No SHAP,A3_constrained_full,A3 Full Evidence,300,5.721376012913334,11.706032165463382,-5.984656152550048,-5.8120393515000615,0.0,6.083559849691437e-51,1.825067954907431e-50,True
