File,Size_KB
README.md,0.83
fig_10_risk_coverage_dt_vs_rf.pdf,16.96
fig_10_risk_coverage_dt_vs_rf.png,148.07
fig_1_architecture.png,50.68
fig_2_raw_confusion_matrix.pdf,25.7
fig_2_raw_confusion_matrix.png,373.0
fig_3_stage_confusion_matrix.pdf,20.57
fig_3_stage_confusion_matrix.png,258.11
fig_4_global_feature_importance.pdf,18.43
fig_4_global_feature_importance.png,253.05
fig_5_risk_score_distribution_policy_zones_300.pdf,14.95
fig_5_risk_score_distribution_policy_zones_300.png,151.91
fig_6_confidence_vs_risk_by_action_300.pdf,17.82
fig_6_confidence_vs_risk_by_action_300.png,156.51
fig_7_explanation_quality_comparison.pdf,15.66
fig_7_explanation_quality_comparison.png,113.29
fig_8_hallucination_analysis.pdf,12.8
fig_8_hallucination_analysis.png,90.11
fig_9_confidence_distribution_dt_vs_rf.pdf,16.14
fig_9_confidence_distribution_dt_vs_rf.png,118.23
